"expName","vpNum","date","os","browser","framerate","xres","yres","blk","trl","text","comp","respDir","corrKey","age","gender","handedness","corrCode","rt"
"FlankerTask","1612269493264","2021-02-02_13h38.31.275","Linux x86_64","Firefox","60","2944","1553","1","1",">><>>","incomp","left","x","18","female","left","1","0.5560000000000009"
"FlankerTask","1612269493264","2021-02-02_13h38.33.259","Linux x86_64","Firefox","60","2944","1553","1","2","<<><<","incomp","right","m","18","female","left","1","0.4819999999999993"
"FlankerTask","1612269493264","2021-02-02_13h38.35.174","Linux x86_64","Firefox","60","2944","1553","1","3",">>>>>","comp","right","m","18","female","left","1","0.4349999999999987"
"FlankerTask","1612269493264","2021-02-02_13h38.37.108","Linux x86_64","Firefox","60","2944","1553","1","4","<<<<<","comp","left","x","18","female","left","1","0.4299999999999997"
"FlankerTask","1612269493264","2021-02-02_13h38.41.538","Linux x86_64","Firefox","60","2944","1553","2","1",">><>>","incomp","left","x","18","female","left","1","0.4629999999999974"
"FlankerTask","1612269493264","2021-02-02_13h38.43.441","Linux x86_64","Firefox","60","2944","1553","2","2","<<<<<","comp","left","x","18","female","left","1","0.3879999999999981"
"FlankerTask","1612269493264","2021-02-02_13h38.45.374","Linux x86_64","Firefox","60","2944","1553","2","3",">>>>>","comp","right","m","18","female","left","1","0.4330000000000034"
"FlankerTask","1612269493264","2021-02-02_13h38.47.337","Linux x86_64","Firefox","60","2944","1553","2","4","<<><<","incomp","right","m","18","female","left","1","0.4619999999999962"
"FlankerTask","1612269493264","2021-02-02_13h38.49.174","Linux x86_64","Firefox","60","2944","1553","2","5",">><>>","incomp","left","x","18","female","left","2","0.31800000000000495"
"FlankerTask","1612269493264","2021-02-02_13h38.51.069","Linux x86_64","Firefox","60","2944","1553","2","6","<<<<<","comp","left","x","18","female","left","1","0.394999999999996"
"FlankerTask","1612269493264","2021-02-02_13h38.52.974","Linux x86_64","Firefox","60","2944","1553","2","7",">>>>>","comp","right","m","18","female","left","1","0.39399999999999835"
"FlankerTask","1612269493264","2021-02-02_13h38.55.041","Linux x86_64","Firefox","60","2944","1553","2","8","<<><<","incomp","right","m","18","female","left","1","0.5629999999999953"
